id,borough,neighborhood,whoRaceNonWhite,whoBornOutside,socioecoHighSchool,socioecoPoverty,socioecoUnemployment,socioecoRent,socioecoHelpful,homeDefects,homeRoaches,homeAir,homeBike,homePedInjury,homeBodega,homeFarmersMarket,healthChildObesity,healthChildAsthma,healthPhysicalActivity,healthUninsured,healthMedCare,healthFluVacc,healthAdultObesity,healthInfantMortality,healthLifeExpectancy,whoRaceNonWhiteValue,whoBornOutsideValue,socioecoHighSchoolValue,socioecoPovertyValue,socioecoUnemploymentValue,socioecoRentValue,socioecoHelpfulValue,homeDefectsValue,homeRoachesValue,homeAirValue,homeBikeValue,homePedInjuryValue,homeBodegaValue,homeFarmersMarketValue,healthChildObesityValue,healthChildAsthmaValue,healthPhysicalActivityValue,healthUninsuredValue,healthMedCareValue,healthFluVaccValue,healthAdultObesityValue,healthInfantMortalityValue,healthLifeExpectancyValue
305,Brooklyn,East New York and Starrett City,9.78313253,4.9375,5.736842105,8.666666667,5.5,5.821428571,5.655172414,4.157894737,7.510638298,3.886792453,2.6,5.026315789,2.666666667,6.625,8.826086957,5.172859451,2.8,2.44,8.071428571,1.620689655,8.342105263,7.657534247,3.916666667,97,36,23,30,10,52,72,38,34,7.7,8,26,13,5,25,315,70,7,14,35,35,6.2,78.6
404,Queens,Elmhurst and Corona,9.457831325,10,7.394736842,7.666666667,2.5,9.035714286,3.482758621,6.526315789,7.319148936,3.886792453,1.8,3.842105263,3.166666667,2.125,8.434782609,2.890145396,2.44,8.92,4.857142857,4.724137931,5.5,4.575342466,9.75,94,63,30,27,6,62,65,53,33,7.7,4,21,16,1,24,158,69,25,9,45,23,3.7,85.6
101,Manhattan,Financial District,3.168674699,2.6875,1.236842105,1.666666667,1,1.321428571,5.034482759,7,3.106382979,7.113207547,8.2,1.236842105,1.5,7.75,1,1,10,1.36,3.571428571,5.344827586,1,3.95890411,9.916666667,36,24,4,9,4,38,70,56,11,9.6,36,10,6,6,5,28,90,4,7,47,4,3.2,85.8
314,Brooklyn,Flatbush and Midwood,6.096385542,6.25,4.552631579,6,4.75,7.428571429,4.413793103,4.473684211,8.468085106,3.547169811,4.2,5.026315789,4,3.25,7.260869565,2.235864297,2.44,5.68,4.857142857,2.551724138,6.684210526,5.068493151,7.083333333,63,43,18,22,9,57,68,40,39,7.5,16,26,21,2,21,113,69,16,9,38,28,4.1,82.4
318,Brooklyn,Flatlands and Canarsie,7.289156627,5.875,3.368421053,3.666666667,4.75,5.178571429,8.137931034,3.052631579,5.595744681,2.867924528,2,3.605263158,2,4.375,7.260869565,2.831987076,6.4,3.16,4.214285714,3.482758621,7.157894737,5.315068493,6.75,74,41,13,15,9,50,80,31,24,7.1,5,20,9,3,21,154,80,9,8,41,30,4.3,82
407,Queens,Flushing and Whitestone,7.289156627,8.875,5.736842105,7,2.5,7.428571429,4.413793103,6.842105263,5.595744681,3.20754717,1.6,4.552631579,1.5,3.25,4.913043478,1.712439418,2.44,4.96,4.214285714,5.344827586,3.131578947,3.219178082,8.666666667,74,57,23,25,6,57,68,55,24,7.3,3,24,6,2,15,77,69,14,8,47,13,2.6,84.3
205,Bronx,Fordham and University Heights,10,6.0625,8.342105263,10,7.75,10,3.482758621,1,10,4.905660377,3.6,5.5,3.833333333,1,8.434782609,6.481421648,1.72,4.96,9.357142857,5.034482759,8.105263158,6.671232877,5,99,42,34,34,13,65,65,18,47,8.3,13,28,20,0,24,405,67,14,16,46,34,5.4,79.9
302,Brooklyn,Fort Greene and Brooklyn Heights,5.120481928,1.9375,2.894736842,2.666666667,4,1.642857143,7.206896552,2.736842105,4.446808511,5.754716981,6.2,1.473684211,2.5,6.625,4.52173913,4.213247173,4.96,1.36,6.785714286,2.24137931,5.736842105,3.465753425,5.583333333,54,20,11,12,8,39,77,29,18,8.8,26,11,12,5,14,249,76,4,12,37,24,2.8,80.6
301,Brooklyn,Greenpoint and Williamsburg,3.493975904,2.6875,4.315789474,4.333333333,2.5,4.535714286,7.206896552,6.052631579,4.638297872,7.113207547,4.4,2.894736842,4.666666667,5.5,8.043478261,2.570274637,1.36,2.44,10,1,5.5,2.97260274,6,39,24,17,17,6,48,77,50,19,9.6,17,17,25,4,23,136,66,7,17,33,23,2.4,81.1
102,Manhattan,Greenwich Village and Soho,2.084337349,2.6875,1.236842105,1.666666667,1,1.321428571,5.034482759,7,3.106382979,6.943396226,7.2,1,1.666666667,2.125,1,1.1453958,10,1.36,3.571428571,5.344827586,1,1.123287671,9.916666667,26,24,4,9,4,38,70,56,11,9.5,31,9,7,1,5,38,90,4,7,47,4,0.9,85.8
204,Bronx,Highbridge and Concourse,10,6.0625,8.815789474,9.333333333,7.75,8.714285714,1.620689655,1.157894737,9.425531915,4.905660377,3.8,5.263157895,3.5,5.5,8.043478261,6.699515347,1,4.6,5.5,6.586206897,8.105263158,4.698630137,3.916666667,99,42,36,32,13,61,59,19,44,8.3,14,27,18,4,23,420,65,13,10,51,34,3.8,78.6
