keyindex,year,topic,category,count,countall,color
985,2017,NYC Transit,Transportation,54,117,#cbd5e4
986,2017,NYC Transit,Transportation,54,117,#cbd5e4
987,2017,NYC Transit,Transportation,54,117,#cbd5e4
988,2017,NYC Transit,Transportation,54,117,#cbd5e4
989,2017,NYC Transit,Transportation,54,117,#cbd5e4
990,2017,NYC Transit,Transportation,54,117,#cbd5e4
991,2017,NYC Transit,Transportation,54,117,#cbd5e4
992,2017,NYC Transit,Transportation,54,117,#cbd5e4
993,2017,NYC Transit,Transportation,54,117,#cbd5e4
994,2017,NYC Transit,Transportation,54,117,#cbd5e4
995,2017,NYC Transit,Transportation,54,117,#cbd5e4
996,2017,NYC Transit,Transportation,54,117,#cbd5e4
997,2017,NYC Transit,Transportation,54,117,#cbd5e4
998,2017,NYC Transit,Transportation,54,117,#cbd5e4
999,2017,NYC Transit,Transportation,54,117,#cbd5e4
1000,2017,NYC Transit,Transportation,54,117,#cbd5e4
1001,2017,NYC Transit,Transportation,54,117,#cbd5e4
1002,2017,NYC Transit,Transportation,54,117,#cbd5e4
1003,2017,NYC Transit,Transportation,54,117,#cbd5e4
1004,2017,NYC Transit,Transportation,54,117,#cbd5e4
1005,2017,NYC Transit,Transportation,54,117,#cbd5e4
1006,2017,NYC Transit,Transportation,54,117,#cbd5e4
1007,2017,NYC Transit,Transportation,54,117,#cbd5e4
1008,2017,NYC Transit,Transportation,54,117,#cbd5e4
1009,2017,NYC Transit,Transportation,54,117,#cbd5e4
1010,2017,NYC Transit,Transportation,54,117,#cbd5e4
1011,2017,NYC Transit,Transportation,54,117,#cbd5e4
1012,2017,NYC Transit,Transportation,54,117,#cbd5e4
1013,2017,NYC Transit,Transportation,54,117,#cbd5e4
1014,2017,NYC Transit,Transportation,54,117,#cbd5e4
1015,2017,NYC Transit,Transportation,54,117,#cbd5e4
1016,2018,blank,,0,99999,#ffffff
1017,2018,blank,,0,99999,#ffffff
1018,2018,Google,Business,6,6,#acdb98
1019,2018,Google,Business,6,6,#acdb98
1020,2018,Google,Business,6,6,#acdb98
1021,2018,Google,Business,6,6,#acdb98
1022,2018,Google,Business,6,6,#acdb98
1023,2018,Google,Business,6,6,#acdb98
1024,2018,City Council ,Election,16,16,#fec0ad
1025,2018,City Council ,Election,16,16,#fec0ad
1026,2018,City Council ,Election,16,16,#fec0ad
1027,2018,City Council ,Election,16,16,#fec0ad
1028,2018,City Council ,Election,16,16,#fec0ad
1029,2018,City Council ,Election,16,16,#fec0ad
1030,2018,City Council ,Election,16,16,#fec0ad
1031,2018,City Council ,Election,16,16,#fec0ad
1032,2018,City Council ,Election,16,16,#fec0ad
1033,2018,City Council ,Election,16,16,#fec0ad
1034,2018,City Council ,Election,16,16,#fec0ad
1035,2018,City Council ,Election,16,16,#fec0ad
1036,2018,City Council ,Election,16,16,#fec0ad
1037,2018,City Council ,Election,16,16,#fec0ad
1038,2018,City Council ,Election,16,16,#fec0ad
1039,2018,City Council ,Election,16,16,#fec0ad
1040,2018,Education,Education,30,226,#f4e192
1041,2018,Education,Education,30,226,#f4e192
1042,2018,Education,Education,30,226,#f4e192
1043,2018,Education,Education,30,226,#f4e192
1044,2018,Education,Education,30,226,#f4e192
1045,2018,Education,Education,30,226,#f4e192
1046,2018,Education,Education,30,226,#f4e192
1047,2018,Education,Education,30,226,#f4e192
1048,2018,Education,Education,30,226,#f4e192
1049,2018,Education,Education,30,226,#f4e192
1050,2018,Education,Education,30,226,#f4e192
1051,2018,Education,Education,30,226,#f4e192
1052,2018,Education,Education,30,226,#f4e192
1053,2018,Education,Education,30,226,#f4e192
1054,2018,Education,Education,30,226,#f4e192
1055,2018,Education,Education,30,226,#f4e192
1056,2018,Education,Education,30,226,#f4e192
1057,2018,Education,Education,30,226,#f4e192
1058,2018,Education,Education,30,226,#f4e192
1059,2018,Education,Education,30,226,#f4e192
1060,2018,Education,Education,30,226,#f4e192
1061,2018,Education,Education,30,226,#f4e192
1062,2018,Education,Education,30,226,#f4e192
1063,2018,Education,Education,30,226,#f4e192
1064,2018,Education,Education,30,226,#f4e192
1065,2018,Education,Education,30,226,#f4e192
1066,2018,Education,Education,30,226,#f4e192
1067,2018,Education,Education,30,226,#f4e192
1068,2018,Education,Education,30,226,#f4e192
1069,2018,Education,Education,30,226,#f4e192
1070,2018,Amazon,Business,32,85,#f5cbc1
1071,2018,Amazon,Business,32,85,#f5cbc1
1072,2018,Amazon,Business,32,85,#f5cbc1
1073,2018,Amazon,Business,32,85,#f5cbc1
1074,2018,Amazon,Business,32,85,#f5cbc1
1075,2018,Amazon,Business,32,85,#f5cbc1
1076,2018,Amazon,Business,32,85,#f5cbc1
1077,2018,Amazon,Business,32,85,#f5cbc1
1078,2018,Amazon,Business,32,85,#f5cbc1
1079,2018,Amazon,Business,32,85,#f5cbc1
1080,2018,Amazon,Business,32,85,#f5cbc1
1081,2018,Amazon,Business,32,85,#f5cbc1
1082,2018,Amazon,Business,32,85,#f5cbc1
1083,2018,Amazon,Business,32,85,#f5cbc1
1084,2018,Amazon,Business,32,85,#f5cbc1
1085,2018,Amazon,Business,32,85,#f5cbc1
1086,2018,Amazon,Business,32,85,#f5cbc1
1087,2018,Amazon,Business,32,85,#f5cbc1
1088,2018,Amazon,Business,32,85,#f5cbc1
1089,2018,Amazon,Business,32,85,#f5cbc1
1090,2018,Amazon,Business,32,85,#f5cbc1
1091,2018,Amazon,Business,32,85,#f5cbc1
1092,2018,Amazon,Business,32,85,#f5cbc1
1093,2018,Amazon,Business,32,85,#f5cbc1
1094,2018,Amazon,Business,32,85,#f5cbc1
1095,2018,Amazon,Business,32,85,#f5cbc1
1096,2018,Amazon,Business,32,85,#f5cbc1
1097,2018,Amazon,Business,32,85,#f5cbc1
1098,2018,Amazon,Business,32,85,#f5cbc1
1099,2018,Amazon,Business,32,85,#f5cbc1
1100,2018,Amazon,Business,32,85,#f5cbc1
1101,2018,Amazon,Business,32,85,#f5cbc1
1102,2018,Police,Homeland Security,33,190,#f0b8d2
1103,2018,Police,Homeland Security,33,190,#f0b8d2
1104,2018,Police,Homeland Security,33,190,#f0b8d2
1105,2018,Police,Homeland Security,33,190,#f0b8d2
1106,2018,Police,Homeland Security,33,190,#f0b8d2
1107,2018,Police,Homeland Security,33,190,#f0b8d2
1108,2018,Police,Homeland Security,33,190,#f0b8d2
1109,2018,Police,Homeland Security,33,190,#f0b8d2
1110,2018,Police,Homeland Security,33,190,#f0b8d2
1111,2018,Police,Homeland Security,33,190,#f0b8d2
1112,2018,Police,Homeland Security,33,190,#f0b8d2
1113,2018,Police,Homeland Security,33,190,#f0b8d2
1114,2018,Police,Homeland Security,33,190,#f0b8d2
1115,2018,Police,Homeland Security,33,190,#f0b8d2
1116,2018,Police,Homeland Security,33,190,#f0b8d2
1117,2018,Police,Homeland Security,33,190,#f0b8d2
1118,2018,Police,Homeland Security,33,190,#f0b8d2
1119,2018,Police,Homeland Security,33,190,#f0b8d2
1120,2018,Police,Homeland Security,33,190,#f0b8d2
1121,2018,Police,Homeland Security,33,190,#f0b8d2
1122,2018,Police,Homeland Security,33,190,#f0b8d2
1123,2018,Police,Homeland Security,33,190,#f0b8d2
1124,2018,Police,Homeland Security,33,190,#f0b8d2
1125,2018,Police,Homeland Security,33,190,#f0b8d2
1126,2018,Police,Homeland Security,33,190,#f0b8d2
1127,2018,Police,Homeland Security,33,190,#f0b8d2
1128,2018,Police,Homeland Security,33,190,#f0b8d2
1129,2018,Police,Homeland Security,33,190,#f0b8d2
1130,2018,Police,Homeland Security,33,190,#f0b8d2
1131,2018,Police,Homeland Security,33,190,#f0b8d2
1132,2018,Police,Homeland Security,33,190,#f0b8d2
1133,2018,Police,Homeland Security,33,190,#f0b8d2
1134,2018,Police,Homeland Security,33,190,#f0b8d2
1135,2018,NYC Transit,Transportation,39,117,#cbd5e4
1136,2018,NYC Transit,Transportation,39,117,#cbd5e4
1137,2018,NYC Transit,Transportation,39,117,#cbd5e4
1138,2018,NYC Transit,Transportation,39,117,#cbd5e4
1139,2018,NYC Transit,Transportation,39,117,#cbd5e4
1140,2018,NYC Transit,Transportation,39,117,#cbd5e4
1141,2018,NYC Transit,Transportation,39,117,#cbd5e4
1142,2018,NYC Transit,Transportation,39,117,#cbd5e4
1143,2018,NYC Transit,Transportation,39,117,#cbd5e4
1144,2018,NYC Transit,Transportation,39,117,#cbd5e4
1145,2018,NYC Transit,Transportation,39,117,#cbd5e4
1146,2018,NYC Transit,Transportation,39,117,#cbd5e4
1147,2018,NYC Transit,Transportation,39,117,#cbd5e4
1148,2018,NYC Transit,Transportation,39,117,#cbd5e4
1149,2018,NYC Transit,Transportation,39,117,#cbd5e4
1150,2018,NYC Transit,Transportation,39,117,#cbd5e4
1151,2018,NYC Transit,Transportation,39,117,#cbd5e4
1152,2018,NYC Transit,Transportation,39,117,#cbd5e4
1153,2018,NYC Transit,Transportation,39,117,#cbd5e4
1154,2018,NYC Transit,Transportation,39,117,#cbd5e4
1155,2018,NYC Transit,Transportation,39,117,#cbd5e4
1156,2018,NYC Transit,Transportation,39,117,#cbd5e4
1157,2018,NYC Transit,Transportation,39,117,#cbd5e4
1158,2018,NYC Transit,Transportation,39,117,#cbd5e4
1159,2018,NYC Transit,Transportation,39,117,#cbd5e4
1160,2018,NYC Transit,Transportation,39,117,#cbd5e4
1161,2018,NYC Transit,Transportation,39,117,#cbd5e4
1162,2018,NYC Transit,Transportation,39,117,#cbd5e4
1163,2018,NYC Transit,Transportation,39,117,#cbd5e4
1164,2018,NYC Transit,Transportation,39,117,#cbd5e4
1165,2018,NYC Transit,Transportation,39,117,#cbd5e4
1166,2018,NYC Transit,Transportation,39,117,#cbd5e4
1167,2018,NYC Transit,Transportation,39,117,#cbd5e4
1168,2018,NYC Transit,Transportation,39,117,#cbd5e4
1169,2018,NYC Transit,Transportation,39,117,#cbd5e4
1170,2018,NYC Transit,Transportation,39,117,#cbd5e4
1171,2018,NYC Transit,Transportation,39,117,#cbd5e4
1172,2018,NYC Transit,Transportation,39,117,#cbd5e4
1173,2018,NYC Transit,Transportation,39,117,#cbd5e4
1174,2018,Ridesharing,Transportation,41,41,#ffa78c
1175,2018,Ridesharing,Transportation,41,41,#ffa78c
1176,2018,Ridesharing,Transportation,41,41,#ffa78c
1177,2018,Ridesharing,Transportation,41,41,#ffa78c
1178,2018,Ridesharing,Transportation,41,41,#ffa78c
1179,2018,Ridesharing,Transportation,41,41,#ffa78c
1180,2018,Ridesharing,Transportation,41,41,#ffa78c
1181,2018,Ridesharing,Transportation,41,41,#ffa78c
1182,2018,Ridesharing,Transportation,41,41,#ffa78c
1183,2018,Ridesharing,Transportation,41,41,#ffa78c
1184,2018,Ridesharing,Transportation,41,41,#ffa78c
1185,2018,Ridesharing,Transportation,41,41,#ffa78c
1186,2018,Ridesharing,Transportation,41,41,#ffa78c
1187,2018,Ridesharing,Transportation,41,41,#ffa78c
1188,2018,Ridesharing,Transportation,41,41,#ffa78c
1189,2018,Ridesharing,Transportation,41,41,#ffa78c
1190,2018,Ridesharing,Transportation,41,41,#ffa78c
1191,2018,Ridesharing,Transportation,41,41,#ffa78c
1192,2018,Ridesharing,Transportation,41,41,#ffa78c
1193,2018,Ridesharing,Transportation,41,41,#ffa78c
1194,2018,Ridesharing,Transportation,41,41,#ffa78c
1195,2018,Ridesharing,Transportation,41,41,#ffa78c
1196,2018,Ridesharing,Transportation,41,41,#ffa78c
1197,2018,Ridesharing,Transportation,41,41,#ffa78c
1198,2018,Ridesharing,Transportation,41,41,#ffa78c
1199,2018,Ridesharing,Transportation,41,41,#ffa78c
1200,2018,Ridesharing,Transportation,41,41,#ffa78c
1201,2018,Ridesharing,Transportation,41,41,#ffa78c
1202,2018,Ridesharing,Transportation,41,41,#ffa78c
1203,2018,Ridesharing,Transportation,41,41,#ffa78c
1204,2018,Ridesharing,Transportation,41,41,#ffa78c
1205,2018,Ridesharing,Transportation,41,41,#ffa78c
1206,2018,Ridesharing,Transportation,41,41,#ffa78c
1207,2018,Ridesharing,Transportation,41,41,#ffa78c
1208,2018,Ridesharing,Transportation,41,41,#ffa78c
1209,2018,Ridesharing,Transportation,41,41,#ffa78c
1210,2018,Ridesharing,Transportation,41,41,#ffa78c
1211,2018,Ridesharing,Transportation,41,41,#ffa78c
1212,2018,Ridesharing,Transportation,41,41,#ffa78c
1213,2018,Ridesharing,Transportation,41,41,#ffa78c
1214,2018,Ridesharing,Transportation,41,41,#ffa78c
1215,2018,Marijuana,Homeland Security,43,43,#71d4d5
1216,2018,Marijuana,Homeland Security,43,43,#71d4d5
1217,2018,Marijuana,Homeland Security,43,43,#71d4d5
1218,2018,Marijuana,Homeland Security,43,43,#71d4d5
1219,2018,Marijuana,Homeland Security,43,43,#71d4d5
1220,2018,Marijuana,Homeland Security,43,43,#71d4d5
1221,2018,Marijuana,Homeland Security,43,43,#71d4d5
1222,2018,Marijuana,Homeland Security,43,43,#71d4d5
1223,2018,Marijuana,Homeland Security,43,43,#71d4d5
1224,2018,Marijuana,Homeland Security,43,43,#71d4d5
1225,2018,Marijuana,Homeland Security,43,43,#71d4d5
1226,2018,Marijuana,Homeland Security,43,43,#71d4d5
1227,2018,Marijuana,Homeland Security,43,43,#71d4d5
1228,2018,Marijuana,Homeland Security,43,43,#71d4d5
1229,2018,Marijuana,Homeland Security,43,43,#71d4d5
1230,2018,Marijuana,Homeland Security,43,43,#71d4d5
1231,2018,Marijuana,Homeland Security,43,43,#71d4d5
1232,2018,Marijuana,Homeland Security,43,43,#71d4d5
1233,2018,Marijuana,Homeland Security,43,43,#71d4d5
1234,2018,Marijuana,Homeland Security,43,43,#71d4d5
1235,2018,Marijuana,Homeland Security,43,43,#71d4d5
1236,2018,Marijuana,Homeland Security,43,43,#71d4d5
1237,2018,Marijuana,Homeland Security,43,43,#71d4d5
1238,2018,Marijuana,Homeland Security,43,43,#71d4d5
1239,2018,Marijuana,Homeland Security,43,43,#71d4d5
1240,2018,Marijuana,Homeland Security,43,43,#71d4d5
1241,2018,Marijuana,Homeland Security,43,43,#71d4d5
1242,2018,Marijuana,Homeland Security,43,43,#71d4d5
1243,2018,Marijuana,Homeland Security,43,43,#71d4d5
1244,2018,Marijuana,Homeland Security,43,43,#71d4d5
1245,2018,Marijuana,Homeland Security,43,43,#71d4d5
1246,2018,Marijuana,Homeland Security,43,43,#71d4d5
1247,2018,Marijuana,Homeland Security,43,43,#71d4d5
1248,2018,Marijuana,Homeland Security,43,43,#71d4d5
1249,2018,Marijuana,Homeland Security,43,43,#71d4d5
1250,2018,Marijuana,Homeland Security,43,43,#71d4d5
1251,2018,Marijuana,Homeland Security,43,43,#71d4d5
1252,2018,Marijuana,Homeland Security,43,43,#71d4d5
1253,2018,Marijuana,Homeland Security,43,43,#71d4d5
1254,2018,Marijuana,Homeland Security,43,43,#71d4d5
1255,2018,Marijuana,Homeland Security,43,43,#71d4d5
1256,2018,Marijuana,Homeland Security,43,43,#71d4d5
1257,2018,Marijuana,Homeland Security,43,43,#71d4d5
1258,2019,blank,,0,99999,#ffffff
1259,2019,blank,,0,99999,#ffffff
1260,2019,Public Health,Health,12,12,#fca3b9
1261,2019,Public Health,Health,12,12,#fca3b9
1262,2019,Public Health,Health,12,12,#fca3b9
1263,2019,Public Health,Health,12,12,#fca3b9
1264,2019,Public Health,Health,12,12,#fca3b9
1265,2019,Public Health,Health,12,12,#fca3b9
1266,2019,Public Health,Health,12,12,#fca3b9
1267,2019,Public Health,Health,12,12,#fca3b9
1268,2019,Public Health,Health,12,12,#fca3b9
1269,2019,Public Health,Health,12,12,#fca3b9
1270,2019,Public Health,Health,12,12,#fca3b9
1271,2019,Public Health,Health,12,12,#fca3b9
1272,2019,Hudson Yards,Public space,22,22,#73d8cd
1273,2019,Hudson Yards,Public space,22,22,#73d8cd
1274,2019,Hudson Yards,Public space,22,22,#73d8cd
1275,2019,Hudson Yards,Public space,22,22,#73d8cd
1276,2019,Hudson Yards,Public space,22,22,#73d8cd
1277,2019,Hudson Yards,Public space,22,22,#73d8cd
1278,2019,Hudson Yards,Public space,22,22,#73d8cd
1279,2019,Hudson Yards,Public space,22,22,#73d8cd
1280,2019,Hudson Yards,Public space,22,22,#73d8cd
1281,2019,Hudson Yards,Public space,22,22,#73d8cd
1282,2019,Hudson Yards,Public space,22,22,#73d8cd
1283,2019,Hudson Yards,Public space,22,22,#73d8cd
1284,2019,Hudson Yards,Public space,22,22,#73d8cd
1285,2019,Hudson Yards,Public space,22,22,#73d8cd
1286,2019,Hudson Yards,Public space,22,22,#73d8cd
1287,2019,Hudson Yards,Public space,22,22,#73d8cd
1288,2019,Hudson Yards,Public space,22,22,#73d8cd
1289,2019,Hudson Yards,Public space,22,22,#73d8cd
1290,2019,Hudson Yards,Public space,22,22,#73d8cd
1291,2019,Hudson Yards,Public space,22,22,#73d8cd
1292,2019,Hudson Yards,Public space,22,22,#73d8cd
1293,2019,Hudson Yards,Public space,22,22,#73d8cd
1294,2019,City Streets,Public space,28,28,#ffb593
1295,2019,City Streets,Public space,28,28,#ffb593
1296,2019,City Streets,Public space,28,28,#ffb593
1297,2019,City Streets,Public space,28,28,#ffb593
1298,2019,City Streets,Public space,28,28,#ffb593
1299,2019,City Streets,Public space,28,28,#ffb593
1300,2019,City Streets,Public space,28,28,#ffb593
1301,2019,City Streets,Public space,28,28,#ffb593
1302,2019,City Streets,Public space,28,28,#ffb593
1303,2019,City Streets,Public space,28,28,#ffb593
1304,2019,City Streets,Public space,28,28,#ffb593
1305,2019,City Streets,Public space,28,28,#ffb593
1306,2019,City Streets,Public space,28,28,#ffb593
1307,2019,City Streets,Public space,28,28,#ffb593
1308,2019,City Streets,Public space,28,28,#ffb593
1309,2019,City Streets,Public space,28,28,#ffb593
1310,2019,City Streets,Public space,28,28,#ffb593
1311,2019,City Streets,Public space,28,28,#ffb593
1312,2019,City Streets,Public space,28,28,#ffb593
1313,2019,City Streets,Public space,28,28,#ffb593
1314,2019,City Streets,Public space,28,28,#ffb593
1315,2019,City Streets,Public space,28,28,#ffb593
1316,2019,City Streets,Public space,28,28,#ffb593
1317,2019,City Streets,Public space,28,28,#ffb593
1318,2019,City Streets,Public space,28,28,#ffb593
1319,2019,City Streets,Public space,28,28,#ffb593
1320,2019,City Streets,Public space,28,28,#ffb593
1321,2019,City Streets,Public space,28,28,#ffb593
1322,2019,Medallion Loans,Treasury,45,45,#95d0dd
1323,2019,Medallion Loans,Treasury,45,45,#95d0dd
1324,2019,Medallion Loans,Treasury,45,45,#95d0dd
1325,2019,Medallion Loans,Treasury,45,45,#95d0dd
1326,2019,Medallion Loans,Treasury,45,45,#95d0dd
1327,2019,Medallion Loans,Treasury,45,45,#95d0dd
1328,2019,Medallion Loans,Treasury,45,45,#95d0dd
1329,2019,Medallion Loans,Treasury,45,45,#95d0dd
1330,2019,Medallion Loans,Treasury,45,45,#95d0dd
1331,2019,Medallion Loans,Treasury,45,45,#95d0dd
1332,2019,Medallion Loans,Treasury,45,45,#95d0dd
1333,2019,Medallion Loans,Treasury,45,45,#95d0dd
1334,2019,Medallion Loans,Treasury,45,45,#95d0dd
1335,2019,Medallion Loans,Treasury,45,45,#95d0dd
1336,2019,Medallion Loans,Treasury,45,45,#95d0dd
1337,2019,Medallion Loans,Treasury,45,45,#95d0dd
1338,2019,Medallion Loans,Treasury,45,45,#95d0dd
1339,2019,Medallion Loans,Treasury,45,45,#95d0dd
1340,2019,Medallion Loans,Treasury,45,45,#95d0dd
1341,2019,Medallion Loans,Treasury,45,45,#95d0dd
1342,2019,Medallion Loans,Treasury,45,45,#95d0dd
1343,2019,Medallion Loans,Treasury,45,45,#95d0dd
1344,2019,Medallion Loans,Treasury,45,45,#95d0dd
1345,2019,Medallion Loans,Treasury,45,45,#95d0dd
1346,2019,Medallion Loans,Treasury,45,45,#95d0dd
1347,2019,Medallion Loans,Treasury,45,45,#95d0dd
1348,2019,Medallion Loans,Treasury,45,45,#95d0dd
1349,2019,Medallion Loans,Treasury,45,45,#95d0dd
1350,2019,Medallion Loans,Treasury,45,45,#95d0dd
1351,2019,Medallion Loans,Treasury,45,45,#95d0dd
1352,2019,Medallion Loans,Treasury,45,45,#95d0dd
1353,2019,Medallion Loans,Treasury,45,45,#95d0dd
1354,2019,Medallion Loans,Treasury,45,45,#95d0dd
1355,2019,Medallion Loans,Treasury,45,45,#95d0dd
1356,2019,Medallion Loans,Treasury,45,45,#95d0dd
1357,2019,Medallion Loans,Treasury,45,45,#95d0dd
1358,2019,Medallion Loans,Treasury,45,45,#95d0dd
1359,2019,Medallion Loans,Treasury,45,45,#95d0dd
1360,2019,Medallion Loans,Treasury,45,45,#95d0dd
1361,2019,Medallion Loans,Treasury,45,45,#95d0dd
1362,2019,Medallion Loans,Treasury,45,45,#95d0dd
1363,2019,Medallion Loans,Treasury,45,45,#95d0dd
1364,2019,Medallion Loans,Treasury,45,45,#95d0dd
1365,2019,Medallion Loans,Treasury,45,45,#95d0dd
1366,2019,Medallion Loans,Treasury,45,45,#95d0dd
1367,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1368,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1369,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1370,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1371,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1372,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1373,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1374,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1375,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1376,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1377,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1378,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1379,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1380,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1381,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1382,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1383,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1384,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1385,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1386,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1387,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1388,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1389,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1390,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1391,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1392,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1393,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1394,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1395,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1396,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1397,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1398,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1399,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1400,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1401,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1402,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1403,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1404,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1405,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1406,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1407,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1408,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1409,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1410,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1411,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1412,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1413,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1414,2019,Rikers Closing,Homeland Security,48,48,#ffb987
1415,2019,Amazon,Business,53,85,#f5cbc1
1416,2019,Amazon,Business,53,85,#f5cbc1
1417,2019,Amazon,Business,53,85,#f5cbc1
1418,2019,Amazon,Business,53,85,#f5cbc1
1419,2019,Amazon,Business,53,85,#f5cbc1
1420,2019,Amazon,Business,53,85,#f5cbc1
1421,2019,Amazon,Business,53,85,#f5cbc1
1422,2019,Amazon,Business,53,85,#f5cbc1
1423,2019,Amazon,Business,53,85,#f5cbc1
1424,2019,Amazon,Business,53,85,#f5cbc1
1425,2019,Amazon,Business,53,85,#f5cbc1
1426,2019,Amazon,Business,53,85,#f5cbc1
1427,2019,Amazon,Business,53,85,#f5cbc1
1428,2019,Amazon,Business,53,85,#f5cbc1
1429,2019,Amazon,Business,53,85,#f5cbc1
1430,2019,Amazon,Business,53,85,#f5cbc1
1431,2019,Amazon,Business,53,85,#f5cbc1
1432,2019,Amazon,Business,53,85,#f5cbc1
1433,2019,Amazon,Business,53,85,#f5cbc1
1434,2019,Amazon,Business,53,85,#f5cbc1
1435,2019,Amazon,Business,53,85,#f5cbc1
1436,2019,Amazon,Business,53,85,#f5cbc1
1437,2019,Amazon,Business,53,85,#f5cbc1
1438,2019,Amazon,Business,53,85,#f5cbc1
1439,2019,Amazon,Business,53,85,#f5cbc1
1440,2019,Amazon,Business,53,85,#f5cbc1
1441,2019,Amazon,Business,53,85,#f5cbc1
1442,2019,Amazon,Business,53,85,#f5cbc1
1443,2019,Amazon,Business,53,85,#f5cbc1
1444,2019,Amazon,Business,53,85,#f5cbc1
1445,2019,Amazon,Business,53,85,#f5cbc1
1446,2019,Amazon,Business,53,85,#f5cbc1
1447,2019,Amazon,Business,53,85,#f5cbc1
1448,2019,Amazon,Business,53,85,#f5cbc1
1449,2019,Amazon,Business,53,85,#f5cbc1
1450,2019,Amazon,Business,53,85,#f5cbc1
1451,2019,Amazon,Business,53,85,#f5cbc1
1452,2019,Amazon,Business,53,85,#f5cbc1
1453,2019,Amazon,Business,53,85,#f5cbc1
1454,2019,Amazon,Business,53,85,#f5cbc1
1455,2019,Amazon,Business,53,85,#f5cbc1
1456,2019,Amazon,Business,53,85,#f5cbc1
1457,2019,Amazon,Business,53,85,#f5cbc1
1458,2019,Amazon,Business,53,85,#f5cbc1
1459,2019,Amazon,Business,53,85,#f5cbc1
1460,2019,Amazon,Business,53,85,#f5cbc1
1461,2019,Amazon,Business,53,85,#f5cbc1
1462,2019,Amazon,Business,53,85,#f5cbc1
1463,2019,Amazon,Business,53,85,#f5cbc1
1464,2019,Amazon,Business,53,85,#f5cbc1
1465,2019,Amazon,Business,53,85,#f5cbc1
1466,2019,Amazon,Business,53,85,#f5cbc1
1467,2019,Amazon,Business,53,85,#f5cbc1
1468,2020,blank,,0,99999,#ffffff
1469,2020,blank,,0,99999,#ffffff
1470,2020,ICE,etc,1,1,#8adad8
1471,2020,Medallion City Council Task Force,Transportation,1,1,#8dd2d9
1472,2020,Foie Gras Ban,etc,2,2,#c1de8b
1473,2020,Foie Gras Ban,etc,2,2,#c1de8b
1474,2020,Plastic Bag Ban,Environment,3,3,#e0bcd2
1475,2020,Plastic Bag Ban,Environment,3,3,#e0bcd2
1476,2020,Plastic Bag Ban,Environment,3,3,#e0bcd2
1477,2020,Primaries,Election,4,4,#f89cb9
1478,2020,Primaries,Election,4,4,#f89cb9
1479,2020,Primaries,Election,4,4,#f89cb9
1480,2020,Primaries,Election,4,4,#f89cb9
1481,2020,BLM Defunding Police,Homeland Security,41,41,#efc3d6
1482,2020,BLM Defunding Police,Homeland Security,41,41,#efc3d6
1483,2020,BLM Defunding Police,Homeland Security,41,41,#efc3d6
1484,2020,BLM Defunding Police,Homeland Security,41,41,#efc3d6
1485,2020,BLM Defunding Police,Homeland Security,41,41,#efc3d6
